url,keyword,url_length,num_dots,num_slashes,keyword_length,has_numbers,has_special_chars,tld
http://ys4qfqyeebw2rxyzmgf2b3zqveiubw7l43e4wcieddn2uw736ujgquyd.onion,identity theft,69,1,2,14,1,1,onion
http://gameavm46gtfq75skz3nyt7gsxfjgref3flarhiq5dai4haqg3ky77id.onion,identity theft,69,1,2,14,1,1,onion
http://legitsumdrdtv6n2ri4cyhyqcz4zkambprynlixskszh5eqcyoctmqad.onion,identity theft,69,1,2,14,1,1,onion
http://ngmmbxlzfpptluh4tbdt57prk3zxmq4ztew7l2whmg7hkqaof2nzf7id.onion,identity theft,69,1,2,14,1,1,onion
http://kbyz5nubktfmsm2e4wanunbytuufbo3tzadgqijzn5llmnbzhfjqn5ad.onion,identity theft,69,1,2,14,1,1,onion
http://walletdhjtlu7wkzwhlkgdtl45glxx3olfwywpt7cv33q67aotajdmad.onion,identity theft,69,1,2,14,1,1,onion
http://walletdxxskgvtqoeelhg7kugb7o6c4pea6bh7jyvllb5eeqhej7iqqd.onion,identity theft,69,1,2,14,1,1,onion
http://cmarket2mkfnxbpjtd7moahl2vel3r7bbix2mibljappe4bmwzbejtad.onion,identity theft,69,1,2,14,1,1,onion
http://walletnos4kom3ezvkrhmvx4a5vr6i6cfhqiu6w3egw4xgjonvu33uad.onion,identity theft,69,1,2,14,1,1,onion
http://walletma3xb5t2jpmz4bolhd7vdahe5ibrfyhzpvmczlsoljnhsqpmad.onion,identity theft,69,1,2,14,1,1,onion
http://sbwalldgsm6r64jjyot5vye3uo3wbkk2rjfsux3kn43vwpiaxixgwrqd.onion,identity theft,69,1,2,14,1,1,onion
http://kingvvyvpv73fzc6ck3444jlxmo2svjpw2vakp5ayo255tibe2llvnid.onion,identity theft,69,1,2,14,1,1,onion
https://3egupowsrtdzauj6rz45jzrvcq34qzzqrj3xnljr6aljhi32y56j4ryd.onion,counterfeit goods,70,1,2,17,1,1,onion
http://vguw3leklefxe37jlgmdvyvn6m3l6oti4p4d2sdiunuqriiibgaf2yad.onion,counterfeit goods,69,1,2,17,1,1,onion
http://gklwvxxedzsos7f6l6mzduxdnugvvdcfxwp2pe7lo3rrltp4wpyufpad.onion,weapons sales,69,1,2,13,1,1,onion
http://qzqyhhnhiibo7py7mysjazs4mi4ebktqfsc6gxltju3n5ilsop5bowad.onion,weapons sales,69,1,2,13,1,1,onion
http://jx57gslkiwi2sxqv5m6kcytssd75tbakzx2fj76yx7gjnvuafje4plqd.onion,weapons sales,69,1,2,13,1,1,onion
